timestamp,change,NI,EI,SI,WI,NO,EO,SO,WO,N_TL,E_TL,S_TL,W_TL
1248.0,1.0,0.046296296296296294,0.0636574074074074,0.0636574074074074,0.046296296296296294,0.0,0.023364485981308414,0.023364485981308414,0.0,0.0,1.0,0.0,0.0
1251.0,0.0,0.05208333333333333,0.057870370370370364,0.0636574074074074,0.046296296296296294,0.0,0.023364485981308414,0.023364485981308414,0.0,0.0,1.0,0.0,0.0
1254.0,0.0,0.05208333333333333,0.057870370370370364,0.06944444444444443,0.046296296296296294,0.0,0.023364485981308414,0.023364485981308414,0.0,0.0,1.0,0.0,0.0
1257.0,0.0,0.05208333333333333,0.05208333333333333,0.06944444444444443,0.046296296296296294,0.023364485981308414,0.0,0.023364485981308414,0.023364485981308414,0.0,1.0,0.0,0.0
1260.0,1.0,0.05208333333333333,0.046296296296296294,0.07523148148148148,0.046296296296296294,0.023364485981308414,0.0,0.023364485981308414,0.023364485981308414,0.0,0.0,1.0,0.0
1263.0,0.0,0.057870370370370364,0.05208333333333333,0.06944444444444443,0.046296296296296294,0.023364485981308414,0.0,0.04672897196261683,0.0,0.0,0.0,1.0,0.0
1266.0,0.0,0.0636574074074074,0.05208333333333333,0.06944444444444443,0.046296296296296294,0.023364485981308414,0.023364485981308414,0.04672897196261683,0.0,0.0,0.0,1.0,0.0
1269.0,0.0,0.0636574074074074,0.05208333333333333,0.07523148148148148,0.046296296296296294,0.023364485981308414,0.023364485981308414,0.04672897196261683,0.0,0.0,0.0,1.0,0.0
1272.0,1.0,0.0636574074074074,0.05208333333333333,0.0636574074074074,0.05208333333333333,0.023364485981308414,0.023364485981308414,0.04672897196261683,0.023364485981308414,1.0,0.0,0.0,0.0
1275.0,0.0,0.057870370370370364,0.05208333333333333,0.0636574074074074,0.05208333333333333,0.07009345794392524,0.0,0.04672897196261683,0.0,1.0,0.0,0.0,0.0
1278.0,0.0,0.057870370370370364,0.05208333333333333,0.0636574074074074,0.05208333333333333,0.07009345794392524,0.0,0.04672897196261683,0.0,1.0,0.0,0.0,0.0
1281.0,0.0,0.05208333333333333,0.05208333333333333,0.0636574074074074,0.05208333333333333,0.07009345794392524,0.0,0.07009345794392524,0.023364485981308414,1.0,0.0,0.0,0.0
1284.0,1.0,0.046296296296296294,0.05208333333333333,0.0636574074074074,0.057870370370370364,0.07009345794392524,0.0,0.07009345794392524,0.04672897196261683,0.0,1.0,0.0,0.0
1287.0,0.0,0.046296296296296294,0.046296296296296294,0.0636574074074074,0.057870370370370364,0.07009345794392524,0.0,0.07009345794392524,0.04672897196261683,0.0,1.0,0.0,0.0
1290.0,0.0,0.046296296296296294,0.046296296296296294,0.0636574074074074,0.0636574074074074,0.07009345794392524,0.0,0.07009345794392524,0.04672897196261683,0.0,1.0,0.0,0.0
1293.0,0.0,0.046296296296296294,0.04050925925925926,0.0636574074074074,0.0636574074074074,0.07009345794392524,0.0,0.07009345794392524,0.07009345794392524,0.0,1.0,0.0,0.0
1296.0,1.0,0.05208333333333333,0.03472222222222222,0.0636574074074074,0.06944444444444443,0.07009345794392524,0.0,0.07009345794392524,0.09345794392523366,0.0,0.0,1.0,0.0
1299.0,0.0,0.057870370370370364,0.03472222222222222,0.057870370370370364,0.06944444444444443,0.07009345794392524,0.0,0.07009345794392524,0.11682242990654207,0.0,0.0,1.0,0.0
1302.0,0.0,0.057870370370370364,0.04050925925925926,0.057870370370370364,0.06944444444444443,0.04672897196261683,0.023364485981308414,0.04672897196261683,0.11682242990654207,0.0,0.0,1.0,0.0
1305.0,0.0,0.0636574074074074,0.04050925925925926,0.05208333333333333,0.06944444444444443,0.04672897196261683,0.023364485981308414,0.04672897196261683,0.11682242990654207,0.0,0.0,1.0,0.0
